web-scraper-order,web-scraper-start-url,birth-place,native-language,other-languages,age-sex,age-of-english-onset,english-method,english-residence,length-residence,mp3-link,website-tag
"1676624572-2804","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=397","birth place: vinh long, vietnam (map)","vietnamese","other language(s): none","age, sex: 28, female","age of english onset: 9","english learning method: academic","english residence: usa","length of english residence: 0.8 years","/soundtracks/vietnamese3.mp3","vietnamese3"
"1676624575-2805","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=396","birth place: ho chi minh city, vietnam (map)","vietnamese","other language(s): mandarin","age, sex: 29, male","age of english onset: 25","english learning method: academic","english residence: usa","length of english residence: 2 years","/soundtracks/vietnamese2.mp3","vietnamese2"
"1676624577-2806","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=395","birth place: can tho, vietnam (map)","vietnamese","other language(s): french","age, sex: 29, male","age of english onset: 12","english learning method: academic","english residence: usa","length of english residence: 0.5 years","/soundtracks/vietnamese1.mp3","vietnamese1"
"1676624580-2807","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=394","birth place: kabul, afghanistan (map)","uzbek","other language(s): farsi turkish","age, sex: 35, female","age of english onset: 28","english learning method: academic","english residence: usa","length of english residence: 6 years","/soundtracks/uzbek2.mp3","uzbek2"
"1676624582-2808","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=393","birth place: samarkand, uzbekistan (map)","uzbek","other language(s): russian turkish","age, sex: 39, female","age of english onset: 39","english learning method: academic","english residence: usa","length of english residence: 1 years","/soundtracks/uzbek1.mp3","uzbek1"
"1676624585-2809","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=392","birth place: urumqi, xin jiang, china (map)","uyghur","other language(s): mandarin turkish","age, sex: 46, female","age of english onset: 45","english learning method: academic","english residence: usa","length of english residence: 1.5 years","/soundtracks/uyghur1.mp3","uyghur1"
"1676624587-2810","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=391","birth place: sialkot, pakistan (map)","urdu","other language(s): punjabi","age, sex: 48, female","age of english onset: 6","english learning method: academic","english residence: usa","length of english residence: 10 years","/soundtracks/urdu2.mp3","urdu2"
"1676624590-2811","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=390","birth place: karachi, pakistan (map)","urdu","other language(s): hindko saraiki punjabi sindhi","age, sex: 22, male","age of english onset: 18","english learning method: academic","english residence: usa","length of english residence: 1 years","/soundtracks/urdu1.mp3","urdu1"
"1676624592-2812","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=389","birth place: ajumako, ghana (map)","twi","other language(s): french","age, sex: 33, male","age of english onset: 6","english learning method: academic","english residence: usa","length of english residence: 2 years","/soundtracks/twi2.mp3","twi2"
"1676624595-2813","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=388","birth place: kumasi, ghana (map)","twi","other language(s): none","age, sex: 25, female","age of english onset: 12","english learning method: academic","english residence: usa","length of english residence: 12 years","/soundtracks/twi1.mp3","twi1"
"1676624597-2814","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=387","birth place: izmir, turkey (map)","turkish","other language(s): german","age, sex: 19, male","age of english onset: 13","english learning method: academic","english residence:","length of english residence: 0 years","/soundtracks/turkish7.mp3","turkish7"
